Tanggal,Transaksi ID,Kolak Pisang,Martabak Telur,Gemblong,Ketan,Lontong Sayur,Pastel telur,Onde-Onde,Risol Kampung,Bihun,Lontong Oncom,Nasi Kuning,Gado - gado betawi,Donat kentang ,Salad Buah,Asinan Buah,Tahu Isi,Mendoan ,Risoles Smoked Beef,Risoles Ayam,Risoles Mayo
6/30/2024,621,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,622,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,623,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
6/30/2024,624,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6/30/2024,625,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6/30/2024,626,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,627,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,628,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,629,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,630,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,631,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,632,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,633,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,634,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,635,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,636,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,637,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,638,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,639,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,640,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/30/2024,641,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6/30/2024,642,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
6/30/2024,643,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,644,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,645,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
6/30/2024,646,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
7/1/2024,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7/1/2024,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7/1/2024,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7/1/2024,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7/1/2024,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
7/1/2024,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7/1/2024,653,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
7/1/2024,654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
7/1/2024,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
7/1/2024,656,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
7/1/2024,657,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7/1/2024,658,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/3/2024,659,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
7/3/2024,660,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
7/3/2024,661,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7/3/2024,662,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/2024,663,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/2024,664,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/2024,665,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
7/3/2024,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
